aspect_key,body_a,body_b,aspect_type,coverage_state,tier_1_candidate,tier_2_candidate,notes
SATURN_SUN_SQUARE,SATURN,SUN,square,covered,false,true,
SATURN_SUN_TRINE,SATURN,SUN,trine,covered,false,true,
SATURN_SUN_OPPOSITION,SATURN,SUN,opposition,covered,false,true,
URANUS_SUN_CONJUNCTION,URANUS,SUN,conjunction,covered,false,true,
URANUS_SUN_SEXTILE,URANUS,SUN,sextile,covered,false,true,
URANUS_SUN_SQUARE,URANUS,SUN,square,covered,false,true,
URANUS_SUN_TRINE,URANUS,SUN,trine,covered,false,true,
URANUS_SUN_OPPOSITION,URANUS,SUN,opposition,covered,false,true,
NEPTUNE_SUN_CONJUNCTION,NEPTUNE,SUN,conjunction,covered,false,true,
NEPTUNE_SUN_SEXTILE,NEPTUNE,SUN,sextile,covered,false,true,
NEPTUNE_SUN_SQUARE,NEPTUNE,SUN,square,covered,false,true,
NEPTUNE_SUN_TRINE,NEPTUNE,SUN,trine,covered,false,true,
NEPTUNE_SUN_OPPOSITION,NEPTUNE,SUN,opposition,covered,false,true,
PLUTO_SUN_CONJUNCTION,PLUTO,SUN,conjunction,covered,false,true,
PLUTO_SUN_SEXTILE,PLUTO,SUN,sextile,covered,false,true,
PLUTO_SUN_SQUARE,PLUTO,SUN,square,covered,false,true,
PLUTO_SUN_TRINE,PLUTO,SUN,trine,covered,false,true,
PLUTO_SUN_OPPOSITION,PLUTO,SUN,opposition,covered,false,true,
SUN_SUN_CONJUNCTION,SUN,SUN,conjunction,uncovered,false,true,
SUN_SUN_SEXTILE,SUN,SUN,sextile,uncovered,false,true,
SUN_SUN_SQUARE,SUN,SUN,square,uncovered,false,true,
SUN_SUN_TRINE,SUN,SUN,trine,uncovered,false,true,
SUN_SUN_OPPOSITION,SUN,SUN,opposition,uncovered,false,true,
MOON_MERCURY_CONJUNCTION,MOON,MERCURY,conjunction,uncovered,false,true,
MOON_MERCURY_SEXTILE,MOON,MERCURY,sextile,uncovered,false,true,
MOON_MERCURY_SQUARE,MOON,MERCURY,square,uncovered,false,true,
MOON_MERCURY_TRINE,MOON,MERCURY,trine,uncovered,false,true,
MOON_MERCURY_OPPOSITION,MOON,MERCURY,opposition,uncovered,false,true,
MOON_VENUS_CONJUNCTION,MOON,VENUS,conjunction,covered,false,true,
MOON_VENUS_SEXTILE,MOON,VENUS,sextile,covered,false,true,
MOON_VENUS_SQUARE,MOON,VENUS,square,covered,false,true,
MOON_VENUS_TRINE,MOON,VENUS,trine,covered,false,true,
MOON_VENUS_OPPOSITION,MOON,VENUS,opposition,covered,false,true,
MOON_MARS_CONJUNCTION,MOON,MARS,conjunction,covered,false,true,
MOON_MARS_SEXTILE,MOON,MARS,sextile,covered,false,true,
MOON_MARS_SQUARE,MOON,MARS,square,covered,false,true,
MOON_MARS_TRINE,MOON,MARS,trine,covered,false,true,
MOON_MARS_OPPOSITION,MOON,MARS,opposition,covered,false,true,
JUPITER_MOON_CONJUNCTION,JUPITER,MOON,conjunction,covered,false,true,
JUPITER_MOON_SEXTILE,JUPITER,MOON,sextile,covered,false,true,
JUPITER_MOON_SQUARE,JUPITER,MOON,square,covered,false,true,
JUPITER_MOON_TRINE,JUPITER,MOON,trine,covered,false,true,
JUPITER_MOON_OPPOSITION,JUPITER,MOON,opposition,covered,false,true,
SATURN_MOON_CONJUNCTION,SATURN,MOON,conjunction,covered,false,false,
SATURN_MOON_SEXTILE,SATURN,MOON,sextile,covered,false,false,
SATURN_MOON_SQUARE,SATURN,MOON,square,covered,false,false,
SATURN_MOON_TRINE,SATURN,MOON,trine,covered,false,false,
SATURN_MOON_OPPOSITION,SATURN,MOON,opposition,covered,false,false,
URANUS_MOON_CONJUNCTION,URANUS,MOON,conjunction,covered,false,false,
URANUS_MOON_SEXTILE,URANUS,MOON,sextile,covered,false,false,
URANUS_MOON_SQUARE,URANUS,MOON,square,covered,false,false,
URANUS_MOON_TRINE,URANUS,MOON,trine,covered,false,false,
URANUS_MOON_OPPOSITION,URANUS,MOON,opposition,covered,false,false,
NEPTUNE_MOON_CONJUNCTION,NEPTUNE,MOON,conjunction,covered,false,false,
NEPTUNE_MOON_SEXTILE,NEPTUNE,MOON,sextile,covered,false,false,
NEPTUNE_MOON_SQUARE,NEPTUNE,MOON,square,covered,false,false,
NEPTUNE_MOON_TRINE,NEPTUNE,MOON,trine,covered,false,false,
NEPTUNE_MOON_OPPOSITION,NEPTUNE,MOON,opposition,covered,false,false,
PLUTO_MOON_CONJUNCTION,PLUTO,MOON,conjunction,covered,false,false,
PLUTO_MOON_SEXTILE,PLUTO,MOON,sextile,covered,false,false,
PLUTO_MOON_SQUARE,PLUTO,MOON,square,covered,false,false,
PLUTO_MOON_TRINE,PLUTO,MOON,trine,covered,false,false,
PLUTO_MOON_OPPOSITION,PLUTO,MOON,opposition,covered,false,false,
MOON_MOON_CONJUNCTION,MOON,MOON,conjunction,uncovered,false,false,
MOON_MOON_SEXTILE,MOON,MOON,sextile,uncovered,false,false,
MOON_MOON_SQUARE,MOON,MOON,square,uncovered,false,false,
MOON_MOON_TRINE,MOON,MOON,trine,uncovered,false,false,
MOON_MOON_OPPOSITION,MOON,MOON,opposition,uncovered,false,false,
JUPITER_MARS_CONJUNCTION,JUPITER,MARS,conjunction,covered,false,false,
JUPITER_MARS_SEXTILE,JUPITER,MARS,sextile,covered,false,false,
JUPITER_MARS_SQUARE,JUPITER,MARS,square,covered,false,false,
JUPITER_MARS_TRINE,JUPITER,MARS,trine,covered,false,false,
JUPITER_MARS_OPPOSITION,JUPITER,MARS,opposition,covered,false,false,
JUPITER_VENUS_CONJUNCTION,JUPITER,VENUS,conjunction,covered,false,false,
JUPITER_VENUS_SEXTILE,JUPITER,VENUS,sextile,covered,false,false,
JUPITER_VENUS_SQUARE,JUPITER,VENUS,square,covered,false,false,
JUPITER_VENUS_TRINE,JUPITER,VENUS,trine,covered,false,false,
JUPITER_VENUS_OPPOSITION,JUPITER,VENUS,opposition,covered,false,false,
MARS_MARS_CONJUNCTION,MARS,MARS,conjunction,uncovered,false,false,
MARS_MARS_SEXTILE,MARS,MARS,sextile,uncovered,false,false,
MARS_MARS_SQUARE,MARS,MARS,square,uncovered,false,false,
MARS_MARS_TRINE,MARS,MARS,trine,uncovered,false,false,
MARS_MARS_OPPOSITION,MARS,MARS,opposition,uncovered,false,false,
MERCURY_MARS_CONJUNCTION,MERCURY,MARS,conjunction,uncovered,false,false,
MERCURY_MARS_SEXTILE,MERCURY,MARS,sextile,uncovered,false,false,
MERCURY_MARS_SQUARE,MERCURY,MARS,square,uncovered,false,false,
MERCURY_MARS_TRINE,MERCURY,MARS,trine,uncovered,false,false,
MERCURY_MARS_OPPOSITION,MERCURY,MARS,opposition,uncovered,false,false,
MERCURY_VENUS_CONJUNCTION,MERCURY,VENUS,conjunction,uncovered,false,false,
MERCURY_VENUS_SEXTILE,MERCURY,VENUS,sextile,uncovered,false,false,
MERCURY_VENUS_SQUARE,MERCURY,VENUS,square,uncovered,false,false,
MERCURY_VENUS_TRINE,MERCURY,VENUS,trine,uncovered,false,false,
MERCURY_VENUS_OPPOSITION,MERCURY,VENUS,opposition,uncovered,false,false,
NEPTUNE_MARS_CONJUNCTION,NEPTUNE,MARS,conjunction,covered,false,false,
NEPTUNE_MARS_SEXTILE,NEPTUNE,MARS,sextile,covered,false,false,
NEPTUNE_MARS_SQUARE,NEPTUNE,MARS,square,covered,false,false,
NEPTUNE_MARS_TRINE,NEPTUNE,MARS,trine,covered,false,false,
NEPTUNE_MARS_OPPOSITION,NEPTUNE,MARS,opposition,covered,false,false,
NEPTUNE_VENUS_CONJUNCTION,NEPTUNE,VENUS,conjunction,covered,false,false,
NEPTUNE_VENUS_SEXTILE,NEPTUNE,VENUS,sextile,covered,false,false,
NEPTUNE_VENUS_SQUARE,NEPTUNE,VENUS,square,covered,false,false,
NEPTUNE_VENUS_TRINE,NEPTUNE,VENUS,trine,covered,false,false,
NEPTUNE_VENUS_OPPOSITION,NEPTUNE,VENUS,opposition,covered,false,false,
PLUTO_MARS_CONJUNCTION,PLUTO,MARS,conjunction,covered,false,false,
PLUTO_MARS_SEXTILE,PLUTO,MARS,sextile,covered,false,false,
PLUTO_MARS_SQUARE,PLUTO,MARS,square,covered,false,false,
PLUTO_MARS_TRINE,PLUTO,MARS,trine,covered,false,false,
PLUTO_MARS_OPPOSITION,PLUTO,MARS,opposition,covered,false,false,
PLUTO_VENUS_CONJUNCTION,PLUTO,VENUS,conjunction,covered,false,false,
PLUTO_VENUS_SEXTILE,PLUTO,VENUS,sextile,covered,false,false,
PLUTO_VENUS_SQUARE,PLUTO,VENUS,square,covered,false,false,
PLUTO_VENUS_TRINE,PLUTO,VENUS,trine,covered,false,false,
PLUTO_VENUS_OPPOSITION,PLUTO,VENUS,opposition,covered,false,false,
SATURN_MARS_CONJUNCTION,SATURN,MARS,conjunction,covered,false,false,
SATURN_MARS_SEXTILE,SATURN,MARS,sextile,covered,false,false,
SATURN_MARS_SQUARE,SATURN,MARS,square,covered,false,false,
SATURN_MARS_TRINE,SATURN,MARS,trine,covered,false,false,
SATURN_MARS_OPPOSITION,SATURN,MARS,opposition,covered,false,false,
SATURN_VENUS_CONJUNCTION,SATURN,VENUS,conjunction,covered,false,false,
SATURN_VENUS_SEXTILE,SATURN,VENUS,sextile,covered,false,false,
SATURN_VENUS_SQUARE,SATURN,VENUS,square,covered,false,false,
SATURN_VENUS_TRINE,SATURN,VENUS,trine,covered,false,false,
SATURN_VENUS_OPPOSITION,SATURN,VENUS,opposition,covered,false,false,
URANUS_MARS_CONJUNCTION,URANUS,MARS,conjunction,covered,false,false,
URANUS_MARS_SEXTILE,URANUS,MARS,sextile,covered,false,false,
URANUS_MARS_SQUARE,URANUS,MARS,square,covered,false,false,
URANUS_MARS_TRINE,URANUS,MARS,trine,covered,false,false,
URANUS_MARS_OPPOSITION,URANUS,MARS,opposition,covered,false,false,
URANUS_VENUS_CONJUNCTION,URANUS,VENUS,conjunction,covered,false,false,
URANUS_VENUS_SEXTILE,URANUS,VENUS,sextile,covered,false,false,
URANUS_VENUS_SQUARE,URANUS,VENUS,square,covered,false,false,
URANUS_VENUS_TRINE,URANUS,VENUS,trine,covered,false,false,
URANUS_VENUS_OPPOSITION,URANUS,VENUS,opposition,covered,false,false,
VENUS_MARS_CONJUNCTION,VENUS,MARS,conjunction,covered,false,false,
VENUS_MARS_SEXTILE,VENUS,MARS,sextile,covered,false,false,
VENUS_MARS_SQUARE,VENUS,MARS,square,covered,false,false,
VENUS_MARS_TRINE,VENUS,MARS,trine,covered,false,false,
VENUS_MARS_OPPOSITION,VENUS,MARS,opposition,covered,false,false,
VENUS_VENUS_CONJUNCTION,VENUS,VENUS,conjunction,uncovered,false,false,
VENUS_VENUS_SEXTILE,VENUS,VENUS,sextile,uncovered,false,false,
VENUS_VENUS_SQUARE,VENUS,VENUS,square,uncovered,false,false,
VENUS_VENUS_TRINE,VENUS,VENUS,trine,uncovered,false,false,
VENUS_VENUS_OPPOSITION,VENUS,VENUS,opposition,uncovered,false,false,
JUPITER_MERCURY_CONJUNCTION,JUPITER,MERCURY,conjunction,uncovered,false,false,
JUPITER_MERCURY_SEXTILE,JUPITER,MERCURY,sextile,uncovered,false,false,
JUPITER_MERCURY_SQUARE,JUPITER,MERCURY,square,uncovered,false,false,
JUPITER_MERCURY_TRINE,JUPITER,MERCURY,trine,uncovered,false,false,
JUPITER_MERCURY_OPPOSITION,JUPITER,MERCURY,opposition,uncovered,false,false,
MERCURY_MERCURY_CONJUNCTION,MERCURY,MERCURY,conjunction,uncovered,false,false,
MERCURY_MERCURY_SEXTILE,MERCURY,MERCURY,sextile,uncovered,false,false,
MERCURY_MERCURY_SQUARE,MERCURY,MERCURY,square,uncovered,false,false,
MERCURY_MERCURY_TRINE,MERCURY,MERCURY,trine,uncovered,false,false,
MERCURY_MERCURY_OPPOSITION,MERCURY,MERCURY,opposition,uncovered,false,false,
NEPTUNE_MERCURY_CONJUNCTION,NEPTUNE,MERCURY,conjunction,uncovered,false,false,
NEPTUNE_MERCURY_SEXTILE,NEPTUNE,MERCURY,sextile,uncovered,false,false,
NEPTUNE_MERCURY_SQUARE,NEPTUNE,MERCURY,square,uncovered,false,false,
NEPTUNE_MERCURY_TRINE,NEPTUNE,MERCURY,trine,uncovered,false,false,
NEPTUNE_MERCURY_OPPOSITION,NEPTUNE,MERCURY,opposition,uncovered,false,false,
PLUTO_MERCURY_CONJUNCTION,PLUTO,MERCURY,conjunction,uncovered,false,false,
PLUTO_MERCURY_SEXTILE,PLUTO,MERCURY,sextile,uncovered,false,false,
PLUTO_MERCURY_SQUARE,PLUTO,MERCURY,square,uncovered,false,false,
PLUTO_MERCURY_TRINE,PLUTO,MERCURY,trine,uncovered,false,false,
PLUTO_MERCURY_OPPOSITION,PLUTO,MERCURY,opposition,uncovered,false,false,
SATURN_MERCURY_CONJUNCTION,SATURN,MERCURY,conjunction,uncovered,false,false,
SATURN_MERCURY_SEXTILE,SATURN,MERCURY,sextile,uncovered,false,false,
SATURN_MERCURY_SQUARE,SATURN,MERCURY,square,uncovered,false,false,
SATURN_MERCURY_TRINE,SATURN,MERCURY,trine,uncovered,false,false,
SATURN_MERCURY_OPPOSITION,SATURN,MERCURY,opposition,uncovered,false,false,
URANUS_MERCURY_CONJUNCTION,URANUS,MERCURY,conjunction,uncovered,false,false,
URANUS_MERCURY_SEXTILE,URANUS,MERCURY,sextile,uncovered,false,false,
URANUS_MERCURY_SQUARE,URANUS,MERCURY,square,uncovered,false,false,
URANUS_MERCURY_TRINE,URANUS,MERCURY,trine,uncovered,false,false,
URANUS_MERCURY_OPPOSITION,URANUS,MERCURY,opposition,uncovered,false,false,
JUPITER_JUPITER_CONJUNCTION,JUPITER,JUPITER,conjunction,uncovered,false,false,
JUPITER_JUPITER_SEXTILE,JUPITER,JUPITER,sextile,uncovered,false,false,
JUPITER_JUPITER_SQUARE,JUPITER,JUPITER,square,uncovered,false,false,
JUPITER_JUPITER_TRINE,JUPITER,JUPITER,trine,uncovered,false,false,
JUPITER_JUPITER_OPPOSITION,JUPITER,JUPITER,opposition,uncovered,false,false,
NEPTUNE_JUPITER_CONJUNCTION,NEPTUNE,JUPITER,conjunction,uncovered,false,false,
NEPTUNE_JUPITER_SEXTILE,NEPTUNE,JUPITER,sextile,uncovered,false,false,
NEPTUNE_JUPITER_SQUARE,NEPTUNE,JUPITER,square,uncovered,false,false,
NEPTUNE_JUPITER_TRINE,NEPTUNE,JUPITER,trine,uncovered,false,false,
NEPTUNE_JUPITER_OPPOSITION,NEPTUNE,JUPITER,opposition,uncovered,false,false,
NEPTUNE_SATURN_CONJUNCTION,NEPTUNE,SATURN,conjunction,uncovered,false,false,
NEPTUNE_SATURN_SEXTILE,NEPTUNE,SATURN,sextile,uncovered,false,false,
NEPTUNE_SATURN_SQUARE,NEPTUNE,SATURN,square,uncovered,false,false,
NEPTUNE_SATURN_TRINE,NEPTUNE,SATURN,trine,uncovered,false,false,
NEPTUNE_SATURN_OPPOSITION,NEPTUNE,SATURN,opposition,uncovered,false,false,
PLUTO_JUPITER_CONJUNCTION,PLUTO,JUPITER,conjunction,uncovered,false,false,
PLUTO_JUPITER_SEXTILE,PLUTO,JUPITER,sextile,uncovered,false,false,
PLUTO_JUPITER_SQUARE,PLUTO,JUPITER,square,uncovered,false,false,
PLUTO_JUPITER_TRINE,PLUTO,JUPITER,trine,uncovered,false,false,
PLUTO_JUPITER_OPPOSITION,PLUTO,JUPITER,opposition,uncovered,false,false,
PLUTO_SATURN_CONJUNCTION,PLUTO,SATURN,conjunction,uncovered,false,false,
PLUTO_SATURN_SEXTILE,PLUTO,SATURN,sextile,uncovered,false,false,
PLUTO_SATURN_SQUARE,PLUTO,SATURN,square,uncovered,false,false,
PLUTO_SATURN_TRINE,PLUTO,SATURN,trine,uncovered,false,false,
PLUTO_SATURN_OPPOSITION,PLUTO,SATURN,opposition,uncovered,false,false,
SATURN_JUPITER_CONJUNCTION,SATURN,JUPITER,conjunction,uncovered,false,false,
SATURN_JUPITER_SEXTILE,SATURN,JUPITER,sextile,uncovered,false,false,
SATURN_JUPITER_SQUARE,SATURN,JUPITER,square,uncovered,false,false,
SATURN_JUPITER_TRINE,SATURN,JUPITER,trine,uncovered,false,false,
SATURN_JUPITER_OPPOSITION,SATURN,JUPITER,opposition,uncovered,false,false,
SATURN_SATURN_CONJUNCTION,SATURN,SATURN,conjunction,uncovered,false,false,
SATURN_SATURN_SEXTILE,SATURN,SATURN,sextile,uncovered,false,false,
SATURN_SATURN_SQUARE,SATURN,SATURN,square,uncovered,false,false,
SATURN_SATURN_TRINE,SATURN,SATURN,trine,uncovered,false,false,
SATURN_SATURN_OPPOSITION,SATURN,SATURN,opposition,uncovered,false,false,
URANUS_JUPITER_CONJUNCTION,URANUS,JUPITER,conjunction,uncovered,false,false,
URANUS_JUPITER_SEXTILE,URANUS,JUPITER,sextile,uncovered,false,false,
URANUS_JUPITER_SQUARE,URANUS,JUPITER,square,uncovered,false,false,
URANUS_JUPITER_TRINE,URANUS,JUPITER,trine,uncovered,false,false,
URANUS_JUPITER_OPPOSITION,URANUS,JUPITER,opposition,uncovered,false,false,
URANUS_SATURN_CONJUNCTION,URANUS,SATURN,conjunction,uncovered,false,false,
URANUS_SATURN_SEXTILE,URANUS,SATURN,sextile,uncovered,false,false,
URANUS_SATURN_SQUARE,URANUS,SATURN,square,uncovered,false,false,
URANUS_SATURN_TRINE,URANUS,SATURN,trine,uncovered,false,false,
URANUS_SATURN_OPPOSITION,URANUS,SATURN,opposition,uncovered,false,false,
NEPTUNE_NEPTUNE_CONJUNCTION,NEPTUNE,NEPTUNE,conjunction,uncovered,false,false,
NEPTUNE_NEPTUNE_SEXTILE,NEPTUNE,NEPTUNE,sextile,uncovered,false,false,
NEPTUNE_NEPTUNE_SQUARE,NEPTUNE,NEPTUNE,square,uncovered,false,false,
NEPTUNE_NEPTUNE_TRINE,NEPTUNE,NEPTUNE,trine,uncovered,false,false,
NEPTUNE_NEPTUNE_OPPOSITION,NEPTUNE,NEPTUNE,opposition,uncovered,false,false,
NEPTUNE_URANUS_CONJUNCTION,NEPTUNE,URANUS,conjunction,uncovered,false,false,
NEPTUNE_URANUS_SEXTILE,NEPTUNE,URANUS,sextile,uncovered,false,false,
NEPTUNE_URANUS_SQUARE,NEPTUNE,URANUS,square,uncovered,false,false,
NEPTUNE_URANUS_TRINE,NEPTUNE,URANUS,trine,uncovered,false,false,
NEPTUNE_URANUS_OPPOSITION,NEPTUNE,URANUS,opposition,uncovered,false,false,
PLUTO_NEPTUNE_CONJUNCTION,PLUTO,NEPTUNE,conjunction,uncovered,false,false,
PLUTO_NEPTUNE_SEXTILE,PLUTO,NEPTUNE,sextile,uncovered,false,false,
PLUTO_NEPTUNE_SQUARE,PLUTO,NEPTUNE,square,uncovered,false,false,
PLUTO_NEPTUNE_TRINE,PLUTO,NEPTUNE,trine,uncovered,false,false,
PLUTO_NEPTUNE_OPPOSITION,PLUTO,NEPTUNE,opposition,uncovered,false,false,
PLUTO_PLUTO_CONJUNCTION,PLUTO,PLUTO,conjunction,uncovered,false,false,
PLUTO_PLUTO_SEXTILE,PLUTO,PLUTO,sextile,uncovered,false,false,
PLUTO_PLUTO_SQUARE,PLUTO,PLUTO,square,uncovered,false,false,
PLUTO_PLUTO_TRINE,PLUTO,PLUTO,trine,uncovered,false,false,
PLUTO_PLUTO_OPPOSITION,PLUTO,PLUTO,opposition,uncovered,false,false,
PLUTO_URANUS_CONJUNCTION,PLUTO,URANUS,conjunction,uncovered,false,false,
PLUTO_URANUS_SEXTILE,PLUTO,URANUS,sextile,uncovered,false,false,
PLUTO_URANUS_SQUARE,PLUTO,URANUS,square,uncovered,false,false,
PLUTO_URANUS_TRINE,PLUTO,URANUS,trine,uncovered,false,false,
PLUTO_URANUS_OPPOSITION,PLUTO,URANUS,opposition,uncovered,false,false,
URANUS_URANUS_CONJUNCTION,URANUS,URANUS,conjunction,uncovered,false,false,
URANUS_URANUS_SEXTILE,URANUS,URANUS,sextile,uncovered,false,false,
URANUS_URANUS_SQUARE,URANUS,URANUS,square,uncovered,false,false,
URANUS_URANUS_TRINE,URANUS,URANUS,trine,uncovered,false,false,
URANUS_URANUS_OPPOSITION,URANUS,URANUS,opposition,uncovered,false,false,
